Fri Mar 07 2014 10:09:26 GMT-0800 (Pacific Standard Time)  Creating conversation 20140307180926679-adam1-adam2-0.4.3
Fri Mar 07 2014 10:09:33 GMT-0800 (Pacific Standard Time)  adam1 disconnected
Fri Mar 07 2014 10:09:34 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 10:09:34 GMT-0800 (Pacific Standard Time)  waiting adam1
Fri Mar 07 2014 10:09:35 GMT-0800 (Pacific Standard Time)  adam2 disconnected
Fri Mar 07 2014 10:09:37 GMT-0800 (Pacific Standard Time)  hello adam2
Fri Mar 07 2014 10:09:37 GMT-0800 (Pacific Standard Time)  Creating conversation 20140307180937001-adam1-adam2-0.4.3
Fri Mar 07 2014 10:09:49 GMT-0800 (Pacific Standard Time)  Updating convid 20140307180937001-adam1-adam2-0.4.3 to length 1
Fri Mar 07 2014 10:10:00 GMT-0800 (Pacific Standard Time)  adam2 disconnected
Fri Mar 07 2014 10:10:01 GMT-0800 (Pacific Standard Time)  hello adam2
Fri Mar 07 2014 10:10:01 GMT-0800 (Pacific Standard Time)  waiting adam2
Fri Mar 07 2014 10:10:02 GMT-0800 (Pacific Standard Time)  adam1 disconnected
Fri Mar 07 2014 10:10:03 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 10:10:03 GMT-0800 (Pacific Standard Time)  Creating conversation 2014030718103501-adam2-adam1-0.4.3
Fri Mar 07 2014 10:10:11 GMT-0800 (Pacific Standard Time)  Updating convid 2014030718103501-adam2-adam1-0.4.3 to length 1
Fri Mar 07 2014 10:26:25 GMT-0800 (Pacific Standard Time)  Signing out adam1
Fri Mar 07 2014 10:26:25 GMT-0800 (Pacific Standard Time)  Updating convid 2014030718103501-adam2-adam1-0.4.3 to length 1
Fri Mar 07 2014 10:26:25 GMT-0800 (Pacific Standard Time)  adam2 disconnected
Fri Mar 07 2014 10:26:25 GMT-0800 (Pacific Standard Time)  adam1 disconnected
Fri Mar 07 2014 10:27:12 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 10:27:20 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 10:27:20 GMT-0800 (Pacific Standard Time)  waiting adam1
Fri Mar 07 2014 10:29:13 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 10:29:15 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam1"}
Fri Mar 07 2014 10:29:15 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam1. We are still looking for a partner for you.
Fri Mar 07 2014 10:29:15 GMT-0800 (Pacific Standard Time)  waiting adam1
Fri Mar 07 2014 10:29:42 GMT-0800 (Pacific Standard Time)  adam1 disconnected
Fri Mar 07 2014 10:37:02 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 10:55:14 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 11:12:14 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 11:36:00 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 11:39:31 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 11:42:31 GMT-0800 (Pacific Standard Time)  adum restarting his server.
